"Стоимость авто","","61,5","","",""
"","Марка\Модель","","","",""
"","Пробег","","","",""
"Год выпуска","","01.12.2023","","",""
"Объем ДВС","","2694  см3","","",""
"Суток на СВХ","","14 сут.","76,86 ₽","0,05607 ₽","89,54 ₽"
"Первая часть оплаты:","","","","",""
"","Агентские услуги по договору","","$563,68","₩966 899","50 000 ₽"
"","Задаток (бронь авто)","","$737","₩1 000 000","56 066 ₽"
"Вторая часть оплаты:  ","","","","",""
"","Стоимость автомобиля
(за вычетом Задатка - бронь авто)","","$44 132","₩60 500 000","3 391 981 ₽"
"","Диллерский сбор","","$321","₩440 000","24 669 ₽"
"","Доставка, cнятие с учета, оформление.","","$73","₩100 000","5 607 ₽"
"","Транспортировка авто в порт","","$255","₩350 000","19 623 ₽"
"","Фрахт (паром до Владивостока)","","$600","₩822 525","46 116 ₽"
"Итого расходов по Корее:","","","$46 118","₩63 212 525","3 544 061 ₽"
"Расходы Россия:","","","","",""
"","Единая таможенная ставка","","$20 061","₩29 520 000","1 526 529 ₽"
"","Таможенное оформление","","$158","₩232 056","12 000 ₽"
"","Утилизационный сбор","","$45","₩65 749","3 400 ₽"
"","Услуги брокера Владивосток","","$698","₩1 027 407","53 129 ₽"
"","СВХ-Владивосток","","$657","₩966 899","50 000 ₽"
"","Лаборатория, СБКТС, ЭПТС.","","$394","₩580 140","30 000 ₽"
"","Временная регистрация Владивосток","","$105","₩154 704","8 000 ₽"
"","Владивосток-Москва (автовоз)","","$0","₩0",""
"","","","$68 800,32","₩96 726 379","5 277 119 ₽"
